Date,Open,High,Low,Close,Volume
2022-06-11,28389.49,28519.32,26570.67,26587.35,38522.37
2022-06-12,26587.35,26871.6,21976.15,22471.59,169741.38
2022-06-13,22471.59,23214.28,20837.64,22118.37,93509.58
2022-06-14,22118.37,22743.84,20083.9,22566.73,118629.55
2022-06-15,22566.73,22961.17,20209.17,20372.85,62443.29
2022-06-16,20372.85,21330.5,20221.24,20432.26,63610.58
2022-06-17,20432.26,20722.69,17600.75,18954.25,100138.03
2022-06-18,18954.25,20776.87,17936,20553.48,61181.89
2022-06-19,20553.48,21016.02,19616.32,20550.91,48976.59
2022-06-20,20550.91,21694.7,20339.03,20699.21,45262.22
2022-06-21,20699.21,20862.67,19756.23,19956.16,50640.15
2022-06-22,19956.16,21195.95,19870.07,21098.41,40647.06
2022-06-23,21098.41,21528.86,20717.47,21219.46,40303.85
2022-06-24,21219.46,21587.06,20902.05,21474.19,21604.15
2022-06-25,21474.19,21855.84,20968.82,21031.85,20812.53
2022-06-26,21031.85,21505.42,20553.32,20718.16,30683.89
2022-06-27,20718.16,21184.16,20179.52,20251.96,32936.56
2022-06-28,20251.96,20402.7,19844.86,20094.16,37366.3
2022-06-29,20094.16,20138.96,18622.86,19908.49,56316.14
2022-06-30,19908.49,20817.65,18952.12,19249.33,62287.55
2022-07-01,19249.33,19419.25,18965.44,19225.66,20447.36
2022-07-02,19225.66,19617.18,18768.2,19294.21,22431.91
2022-07-03,19294.21,20313.34,19036.44,20212.81,31698.75
2022-07-04,20212.81,20725.51,19284.32,20158.69,46669.86
2022-07-05,20158.69,20637.99,19749.93,20545.04,39337.75
2022-07-06,20545.04,21840.22,20242.62,21611.8,50417.79
2022-07-07,21611.8,22377.17,21183.19,21592.65,56687.83
2022-07-08,21592.65,21942.8,21328.96,21582.17,21058.31
2022-07-09,21582.17,21591.09,20671.26,20846.53,23037.78
2022-07-10,20846.53,20852.04,19872.03,19944.25,37062.98
2022-07-11,19944.25,20036.49,19230.29,19309.71,44319.07
2022-07-12,19309.71,20274.83,18919.1,20230.81,60187.72
2022-07-13,20230.81,20869.51,19620.06,20577.38,50524.15
2022-07-14,20577.38,21185.15,20373.45,20827.27,35888.21
2022-07-15,20827.27,21574.75,20481.02,21199.01,27875.55
2022-07-16,21199.01,21658.47,20752.85,20792.81,25674.37
2022-07-17,20792.81,22749.06,20760.73,22447.39,66744.81
2022-07-18,22447.39,23790.89,21588.2,23399.91,79216.86
2022-07-19,23399.91,24276.14,22923.14,23222.77,74279.35
2022-07-20,23222.77,23419.67,22348.64,23153.54,52462.17
2022-07-21,23153.54,23749.68,22513.01,22686.32,42569.62
2022-07-22,22686.32,22997.6,21953.76,22452.14,25789.53
2022-07-23,22452.14,23012.74,22270.07,22585.4,22222.43
2022-07-24,22585.4,22660.92,21268.28,21305.59,42928.78
2022-07-25,21305.59,21341.58,20733.24,21258.08,38536.61
2022-07-26,21258.08,23101.9,21049.67,22960.19,52722.03
2022-07-27,22960.19,24196.42,22599.92,23855.65,55708.07
2022-07-28,23855.65,24416.37,23444.29,23769.15,42343.73
2022-07-29,23769.15,24619.11,23521.46,23646.03,32275.85
2022-07-30,23646.03,24187.18,23243.11,23308.14,23010.79
2022-07-31,23308.14,23504.29,22866.94,23271.57,31489.52
2022-08-01,23271.57,23451.58,22668.87,22991.49,34258.27
2022-08-02,22991.49,23615.71,22695.67,22825.25,44757.6
2022-08-03,22825.25,23228.89,22418.27,22622.99,36540.64
2022-08-04,22622.99,23473.92,22590.7,23319.22,50480.51
2022-08-05,23319.22,23350.56,22922.93,22956.4,17293.89
2022-08-06,22956.4,23400.38,22854.01,23179.86,16799.46
2022-08-07,23179.86,24244.59,23162.43,23817.72,40870.37
2022-08-08,23817.72,23923.56,22881.18,23156.66,38306.57
2022-08-09,23156.66,24216.73,22674.6,23959.67,52668.46
2022-08-10,23959.67,24895.61,23867,23943.36,54803.51
2022-08-11,23943.36,24458.75,23609.84,24412.17,34031.35
2022-08-12,24412.17,24892.27,24306.08,24449.86,28921.35
2022-08-13,24449.86,25012.36,24160.64,24313.71,36035.79
2022-08-14,24313.71,25203.38,23783.19,24101.69,54754.47
2022-08-15,24101.69,24247.12,23673.2,23858.64,36536.46
2022-08-16,23858.64,24442.02,23185.14,23338.03,45577.22
2022-08-17,23338.03,23595.74,23115.03,23201.51,24887.85
2022-08-18,23201.51,23202.7,20801.31,20833.43,81701.33
2022-08-19,20833.43,21361.45,20772.5,21142.06,38001.61
2022-08-20,21142.06,21744.02,21074.63,21514.79,30413.31
2022-08-21,21514.79,21524.9,20908.27,21399.66,44291.12
2022-08-22,21399.66,21675.25,20896.83,21520.62,41086.01
2022-08-23,21520.62,21879.03,21154.75,21369.05,42427.08
2022-08-24,21369.05,21811.37,21314.81,21565.47,31215.69
2022-08-25,21565.47,21856.85,20121.8,20247.99,74178.49
2022-08-26,20247.99,20363.82,19828.05,20038.42,38543.24
2022-08-27,20038.42,20155.59,19527.69,19554.08,29985.28
2022-08-28,19554.08,20415.53,19548.16,20292.37,52176.52
2022-08-29,20292.37,20574.12,19548.55,19813.51,70062.98
2022-08-30,19813.51,20483.64,19804.19,20050.28,57684.46
2022-08-31,20050.28,20204.51,19571.05,20129.93,44971.29
2022-09-01,20129.93,20439.1,19760.56,19957.44,41618.91
2022-09-02,19957.44,20052.13,19659.2,19834.79,17139.2
2022-09-03,19834.79,20022.47,19591.33,20003.46,19536.47
2022-09-04,20003.46,20051.73,19638.59,19793.29,26176.62
2022-09-05,19793.29,20177.38,18707.09,18791.95,73359.14
2022-09-06,18791.95,19458.77,18559.15,19287.52,50808.95
2022-09-07,19287.52,19452.91,19023.78,19321.77,44210.78
2022-09-08,19321.77,21559.78,19299.24,21369.73,79722.17
2022-09-09,21369.73,21807.62,21138.54,21655.13,35129.91
2022-09-10,21655.13,21850.77,21366.74,21836.45,27756.78
2022-09-11,21836.45,22482.54,21567.71,22400.52,57121.32
2022-09-12,22400.52,22767.89,19914.37,20173.77,83591.14
2022-09-13,20173.77,20530.34,19652.44,20233.68,52796.4
2022-09-14,20233.68,20333.61,19529.68,19700.15,44724.05
2022-09-15,19700.15,19889.64,19346.99,19804.02,48209.89
2022-09-16,19804.02,20189.93,19756.39,20118.35,36248.24
2022-09-17,20118.35,20120.58,19345.98,19417.72,31514.24
2022-09-18,19417.72,19681.29,18292.38,19541.28,67942.65
2022-09-19,19541.28,19634.28,18735.87,18879.95,58735.22
2022-09-20,18879.95,19744.77,18189.92,18468.05,95072.31
2022-09-21,18468.05,19509.87,18366.46,19405.96,96116.87
2022-09-22,19405.96,19500.17,18540.64,19291.13,66475.93
2022-09-23,19291.13,19308.47,18813.25,18924.39,29706.93
2022-09-24,18924.39,19172.03,18652.6,18809.94,28763
2022-09-25,18809.94,19316.15,18689.2,19230.96,98706.77
2022-09-26,19230.96,20377.45,18832.07,19081.4,105641.68
2022-09-27,19081.4,19774.99,18494.71,19412.67,93863.47
2022-09-28,19412.67,19641.07,18848.01,19593.46,68669.51
2022-09-29,19593.46,20180.46,19201.02,19425.63,73013.93
2022-09-30,19425.63,19482.38,19188.77,19313.96,14808.24
2022-10-01,19313.96,19394.33,18929.91,19058.15,25352.29
2022-10-02,19058.15,19697.23,18988.8,19632.35,57248.95
2022-10-03,19632.35,20459.26,19499.64,20344.58,64461.86
2022-10-04,20344.58,20366.34,19757.31,20160.74,59503.18
2022-10-05,20160.74,20449.46,19866.54,19965.12,74646.94
2022-10-06,19965.12,20058.36,19331.73,19532.81,59698.47
2022-10-07,19532.81,19625.41,19273.73,19419.32,17433.49
2022-10-08,19419.32,19558.67,19325.6,19442.41,19856.73
2022-10-09,19442.41,19526.12,19052.64,19131.36,44380.54
2022-10-10,19131.36,19263.78,18858.74,19058.29,61563.85
2022-10-11,19058.29,19231.72,18977.33,19154.85,38948.93
2022-10-12,19154.85,19504.63,18229.27,19378.91,88597.27
2022-10-13,19378.91,19946.24,19085.87,19182.01,73991.58
2022-10-14,19182.01,19226.15,18989.54,19069.72,15194.3
2022-10-15,19069.72,19424.55,19065.87,19264.26,15790.4
2022-10-16,19264.26,19676.02,19159.47,19550.49,42730.12
2022-10-17,19550.49,19698.1,19095.12,19330.29,60022.88
2022-10-18,19330.29,19359.2,19075.49,19123.89,49128.58
2022-10-19,19123.89,19339.65,18927.42,19043.54,65084.73
2022-10-20,19043.54,19248.63,18696.2,19166.4,62640.06
2022-10-21,19166.4,19254.68,19116.62,19207.57,16403.84
2022-10-22,19207.57,19687.8,19081.67,19572.6,31309.01
2022-10-23,19572.6,19593.09,19164.18,19331.06,63448.35
2022-10-24,19331.06,20414.92,19243.03,20087.18,103329.66
2022-10-25,20087.18,21013.26,20059.27,20776.76,118988.74
2022-10-26,20776.76,20876.24,20207.09,20295.28,88046.28
2022-10-27,20295.28,20751.67,20031.32,20599.89,78334.3
2022-10-28,20599.89,21064.84,20564.11,20820.19,58585.18
2022-10-29,20820.19,20936.41,20523.41,20630.65,38497.09
2022-10-30,20630.65,20833.31,20242.91,20492.56,61486.04
2022-10-31,20492.56,20684.6,20336.33,20480.27,48670.97
2022-11-01,20480.27,20801.56,20061.18,20150.33,91094.84
2022-11-02,20150.33,20385.92,20040.32,20207.99,54134.03
2022-11-03,20207.99,21295.37,20182.9,21150.6,97929.56
2022-11-04,21150.6,21471.49,21085.76,21301.57,33103.84
2022-11-05,21301.57,21363.27,20893.65,20910.59,27700.95
2022-11-06,20910.59,21066.63,20395.49,20593.73,72622.36
2022-11-07,20593.73,20672.25,17452.87,18544.7,208299.18
2022-11-08,18544.7,18581.64,15546.97,15820.02,245518.91
2022-11-09,15820.02,18113.28,15674.81,17559.67,167486.58
2022-11-10,17559.67,17644.1,16383.43,17007.72,103948.83
2022-11-11,17007.72,17067.53,16603.78,16773.9,34631.17
2022-11-12,16773.9,16921.72,16235.01,16307.47,35382.36
2022-11-13,16307.47,17157.81,15797.71,16592.04,84268.36
2022-11-14,16592.04,17091.76,16509.15,16879.14,76202.66
2022-11-15,16879.14,16988.63,16373.11,16648.05,64606.13
2022-11-16,16648.05,16731.41,16405.81,16680.21,39166.08
2022-11-17,16680.21,16975.14,16531.77,16677.95,45048.23
2022-11-18,16677.95,16798.75,16539.01,16683.72,17003.18
2022-11-19,16683.72,16730,16169.2,16253.6,28587.86
2022-11-20,16253.6,16272.47,15480.69,15760.19,80853.23
2022-11-21,15760.19,16277.08,15600.3,16198.25,74140.47
2022-11-22,16198.25,16676.49,16144.79,16590.98,66057.37
2022-11-23,16590.98,16787.9,16453.52,16588.46,37641.28
2022-11-24,16588.46,16605.86,16336.71,16508.33,34733.48
2022-11-25,16508.33,16687.21,16382.61,16451.53,20929.5
2022-11-26,16451.53,16587.18,16401.91,16420.87,18193.37
2022-11-27,16420.87,16477.82,16000.76,16207.01,53565.6
2022-11-28,16207.01,16528.39,16096.7,16431.79,50846.01
2022-11-29,16431.79,17216.6,16424.76,17162.35,86349.91
2022-11-30,17162.35,17255.22,16865.92,16978.64,57361.34
2022-12-01,16978.64,17102.08,16827.01,17094.49,45492.23
2022-12-02,17094.49,17152.49,16868.66,16888.31,24699.47
2022-12-03,16888.31,17194.4,16884.91,17111.76,29823.7
2022-12-04,17111.76,17409.45,16879.12,16966.84,62808.12
2022-12-05,16966.84,17101.02,16917.86,17086.52,47766.64
2022-12-06,17086.52,17126.91,16713.28,16837.85,42127.95
2022-12-07,16837.85,17286.64,16757.86,17226.02,48682.69
2022-12-08,17226.02,17319.38,17077.4,17126.85,41460.2
2022-12-09,17126.85,17221.25,17102.71,17129.19,17288.71
2022-12-10,17129.19,17259.64,17080.42,17094.83,22135.09
2022-12-11,17094.83,17239.13,16881.75,17208.66,43450.3
2022-12-12,17208.66,17945.07,17096.23,17775.32,80026.6
2022-12-13,17775.32,18344.32,17684.33,17801.37,84917.12
2022-12-14,17801.37,17853.72,17296.89,17359.21,68490.07
2022-12-15,17359.21,17520.63,16611.58,16658.44,88776.6
2022-12-16,16658.44,16794.06,16593.68,16780.55,40996.08
2022-12-17,16780.55,16830.84,16673.02,16742.74,25188.36
2022-12-18,16742.74,16813.47,16350.32,16442.79,63181.42
2022-12-19,16442.79,17028.68,16404.94,16901.12,78296.38
2022-12-20,16901.12,16922.92,16737.8,16821.13,42277.5
2022-12-21,16821.13,16860.78,16571.31,16816.01,48646.01
2022-12-22,16816.01,16907.78,16763.01,16780.97,46894.6
2022-12-23,16780.97,16857.81,16779.49,16837.16,17417.89
2022-12-24,16837.16,16850.93,16736.37,16829.1,17605.22
2022-12-25,16829.1,16926.73,16796.91,16916.07,20635.79
2022-12-26,16916.07,16960.3,16606.04,16700.54,42994.72
2022-12-27,16700.54,16767.99,16471.35,16540.47,54253.61
2022-12-28,16540.47,16650.11,16487.13,16631.24,41148.04
2022-12-29,16631.24,16637.25,16364.76,16599.47,53276.85
2022-12-30,16599.47,16625.46,16487.05,16531.31,27594.76
2022-12-31,16531.31,16619.82,16502.85,16613.87,20256.16
2023-01-01,16613.87,16768.07,16544.15,16670.08,30159.75
2023-01-02,16670.08,16766.7,16605.01,16670.16,37684.59
2023-01-03,16670.16,16972.62,16651.02,16846.82,58841.99
2023-01-04,16846.82,16869.84,16764.64,16825.87,31174.48
2023-01-05,16825.87,17013.77,16687.42,16946.16,52488.7
2023-01-06,16946.16,16972.62,16905.39,16942.73,11628.45
2023-01-07,16942.73,17132.21,16913.28,17115.81,21159.6
2023-01-08,17115.81,17387.59,17103.2,17179.03,73779.59
2023-01-09,17179.03,17484.36,17148.57,17442.44,57628.21
2023-01-10,17442.44,17986.45,17324.71,17938,63571.7
2023-01-11,17938,19092.31,17906.4,18849,122644.76
2023-01-12,18849,19992.23,18717.45,19932.05,94611.39
2023-01-13,19932.05,21255.15,19895.77,20954.52,107073.42
2023-01-14,20954.52,21047.91,20575.44,20878.94,44461.09
2023-01-15,20878.94,21438.83,20635.89,21188.92,66430.52
2023-01-16,21188.92,21555.18,20866.41,21136.12,55706.36
2023-01-17,21136.12,21624.6,20411.68,20678.47,82422.66
2023-01-18,20678.47,21180.98,20670.44,21082.28,54649.2
2023-01-19,21082.28,22724.89,20884.26,22676.2,82923.31
2023-01-20,22676.2,23327.14,22465.82,22789.92,96424.84
2023-01-21,22789.92,23072.22,22343.13,22714.99,62351.77
2023-01-22,22714.99,23154.59,22585.74,22917.47,70990.57
2023-01-23,22917.47,23159.62,22485,22637.8,78065.25
